BPR01,Trans Handling Code
BPR02,Total Actual Provider Payment Amount
BPR03,Credit/Debit Flag Code
BPR04,Payment Method Code
BPR05,Payment Format Code
BPR06,Depository Financial Institution (DFI) ID Number Qualifier
BPR07,DFI ID Number
BPR09,Account Number
BPR12,DFI ID Number Qualifier
BPR13,DFI ID Number
BPR14,Account Number
BPR15,Account Number
BPR16,Check Issue or EFT Effective Date
TRN01,Trace Code Type
TRN02,Reference Identification
TRN03,Originating Company ID
REF01,Reference ID Qualifier
REF02,Reference Identification
DTM01,Date Time Qualifier
DTM02,Date
PER04,Communication Number
N102,Name
N103,ID Code Qualifier
N104,Identification Code
CLP01,Claim Submitter's ID
CLP02,Claim Status Code
CLP06,Claim Filing Indicator Code
CLP07,Reference Identification
NM101,Entity ID Code
NM108,ID Code Qualifier
NM109,Identification Code
AMT01,Amount Qualifier Code
AMT02,Monetary Amount
SVC01-1,Product Service ID Qualifier
CAS01,Claim Adjustment Group Code
CAS02,Claim Adjustment Reason Code
CAS05,Claim Adjustment Reason Code
CAS08,Claim Adjustment Reason Code
CAS11,Claim Adjustment Reason Code
CAS14,Claim Adjustment Reason Code
CAS17,Claim Adjustment Reason Code
CAS03,Monetary Amount
CAS06,Monetary Amount
CAS09,Monetary Amount
CAS12,Monetary Amount
CAS15,Monetary Amount
CAS18,Monetary Amount
CAS04,Quantity
CAS07,Quantity
CAS10,Quantity
CAS13,Quantity
CAS16,Quantity
CAS19,Quantity
LQ01,Code List Qualifier Code
LQ02,Industry Code
PLB01,Reference Identification
PLB03-1,Adjustment Reason Code
PLB03-2,Reference Identification
